seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr7	90129998	90130590	593	*	X734	233489	90130213	90213465	83253	+	0	overlapStart	0	Picalm
chr7	90129998	90130590	593	*	X734	78329	90124822	90129984	5163	-	13	upstream	13	2310010J17Rik
chr7	90442794	90443281	488	*	X735	233490	90442729	90447994	5266	+	0	inside	64	Crebzf
chr7	97081663	97082093	431	*	X736	14389	97081586	97308946	227361	+	0	inside	76	Gab2
chr7	110122174	110122563	390	*	X739	22390	110122046	110143286	21241	+	0	inside	127	Wee1
chr7	110614395	110614894	500	*	X740	319934	110308013	110614922	306910	-	0	inside	27	Sbf2
chr7	110614935	110615059	125	*	X741	319934	110308013	110614922	306910	-	12	upstream	12	Sbf2
chr7	114415054	114416150	1097	*	X742	18576	114415281	114539251	123971	+	0	overlapStart	0	Pde3b
chr7	114415054	114416150	1097	*	X742	71045	114315479	114415161	99683	-	0	overlapStart	0	4933406I18Rik
chr7	117381102	117381500	399	*	X743	233781	117380979	117673580	292602	+	0	inside	122	Xylt1
chr7	132813475	132813895	421	*	X747	77938	132712082	132813886	101805	-	0	overlapStart	0	Fam53b
chr7	139248342	139248690	349	*	X748	101631	139248482	139267975	19494	+	0	overlapStart	0	Pwwp2b
chr7	141193694	141193914	221	*	X749	15461	141189105	141194005	4901	-	0	inside	90	Hras
chr7	141193694	141193914	221	*	X749	70552	141194157	141210055	15899	+	242	upstream	242	Lrrc56
chr7	143461361	143461385	25	*	X751	12577	143458339	143461050	2712	-	310	upstream	310	Cdkn1c
chr8	11009229	11009552	324	*	X752	384783	10984681	11008458	23778	-	770	upstream	770	Irs2
chr8	12756972	12757381	410	*	X754	50770	12757014	12868728	111715	+	0	overlapStart	0	Atp11a
chr8	13338809	13339229	421	*	X755	21781	13338751	13378448	39698	+	0	inside	57	Tfdp1
chr8	26119214	26119655	442	*	X756	320191	26021421	26119224	97804	-	0	overlapStart	0	Hook3
chr8	26119214	26119655	442	*	X756	77733	26119368	26160819	41452	+	0	overlapStart	0	Rnf170
chr8	26976963	26977049	87	*	X757	353310	26977325	26981461	4137	+	275	upstream	275	Zfp703
chr8	26977123	26977326	204	*	X758	353310	26977325	26981461	4137	+	0	overlapStart	0	Zfp703
chr8	33385739	33385847	109	*	X759	22427	33234384	33385527	151144	-	211	upstream	211	Wrn
chr8	33385739	33385847	109	*	X759	75029	33386325	33417467	31143	+	477	upstream	477	Purg
chr8	33385974	33386070	97	*	X760	22427	33234384	33385527	151144	-	446	upstream	446	Wrn
chr8	33385974	33386070	97	*	X760	75029	33386325	33417467	31143	+	254	upstream	254	Purg
chr8	34965308	34965618	311	*	X761	21951	34826460	34965690	139231	-	0	inside	71	Tnks
chr8	36248666	36249355	690	*	X762	244421	36216064	36249516	33453	-	0	inside	160	Lonrf1
chr8	40423716	40424072	357	*	X763	70546	40423815	40510266	86452	+	0	overlapStart	0	Zdhhc2
chr8	46740533	46740938	406	*	X764	100503498	46668808	46739515	70708	-	1017	upstream	1017	Gm16675
chr8	47713911	47713979	69	*	X765	70925	47709344	47713932	4589	-	0	overlapStart	0	Cdkn2aip
chr8	47714230	47714263	34	*	X766	70925	47709344	47713932	4589	-	297	upstream	297	Cdkn2aip
chr8	57652251	57652805	555	*	X767	108150	57523828	57653032	129205	-	0	inside	226	Galnt7
chr8	70594503	70595074	572	*	X768	71780	70594373	70597290	2918	+	0	inside	129	Isyna1
chr8	71381704	71381940	237	*	X769	13864	71374123	71381960	7838	-	0	inside	19	Nr2f6
chr8	71382019	71382193	175	*	X770	13864	71374123	71381960	7838	-	58	upstream	58	Nr2f6
chr8	72492295	72492600	306	*	X772	270066	72480641	72492614	11974	-	0	inside	13	Slc35e1
chr8	76899023	76899364	342	*	X773	110784	76899442	77245012	345571	+	77	upstream	77	Nr3c2
chr8	79639769	79640205	437	*	X774	73945	79639618	79677724	38107	+	0	inside	150	Otud4
chr8	83900058	83900607	550	*	X775	330814	83900105	83941954	41850	+	0	overlapStart	0	Adgrl1
chr8	88199145	88199469	325	*	X780	214627	88199213	88259722	60510	+	0	overlapStart	0	Tent4b
chr8	105269588	105269917	330	*	X783	26386	105269801	105275845	6045	+	0	overlapStart	0	Hsf4
chr8	110721226	110721591	366	*	X785	244654	110721476	110741400	19925	+	0	overlapStart	0	Mtss2
chr8	110721652	110721910	259	*	X786	244654	110721476	110741400	19925	+	0	inside	175	Mtss2
chr8	111056317	111056773	457	*	X787	72544	111056339	111057664	1326	+	0	overlapStart	0	Exosc6
chr8	117256474	117256527	54	*	X788	74440	117257064	117459430	202367	+	536	upstream	536	Cmip
chr8	117256692	117257003	312	*	X789	74440	117257064	117459430	202367	+	60	upstream	60	Cmip
chr8	117257040	117257094	55	*	X790	74440	117257064	117459430	202367	+	0	overlapStart	0	Cmip
chr8	119394898	119395368	471	*	X791	56690	119394878	119411102	16225	+	0	inside	19	Mlycd
chr8	120114146	120114459	314	*	X792	234797	120114152	120165306	51155	+	0	overlapStart	0	6430548M08Rik
chr8	120537581	120538049	469	*	X793	102466849	120538696	120538754	59	+	646	upstream	646	Mir7687
chr8	120537581	120538049	469	*	X793	74227	120536892	120537726	835	-	0	overlapStart	0	1700016A09Rik
chr8	122282396	122282698	303	*	X795	22761	122282141	122337251	55111	+	0	inside	254	Zfpm1
chr8	123041808	123042305	498	*	X796	100503178	123042466	123044602	2137	+	160	upstream	160	2810013P06Rik
chr8	123041808	123042305	498	*	X796	77087	122883822	123042277	158456	-	0	overlapStart	0	Ankrd11
chr8	123332640	123332955	316	*	X797	234857	123332713	123369515	36803	+	0	overlapStart	0	Spire2
chr8	126474411	126474901	491	*	X798	212728	126425329	126475065	49737	-	0	inside	163	Tarbp1
chr9	15044885	15045328	444	*	X800	55991	15002128	15045478	43351	-	0	inside	149	Panx1
chr9	35421290	35421659	370	*	X801	57810	35421128	35507652	86525	+	0	inside	161	Cdon
chr9	44881003	44881315	313	*	X802	214162	44803355	44881296	77942	-	0	overlapStart	0	Kmt2a
chr9	54501391	54501841	451	*	X803	235380	54365158	54501626	136469	-	0	overlapStart	0	Dmxl2
chr9	59486201	59486607	407	*	X804	23806	59388258	59486618	98361	-	0	inside	10	Arih1
chr9	72532157	72532356	200	*	X805	319758	72532240	72622937	90698	+	0	overlapStart	0	Rfx7
chr9	72532157	72532356	200	*	X805	75115	72518250	72531858	13609	-	298	upstream	298	4930509E16Rik
chr9	72532012	72532053	42	*	X806	319758	72532240	72622937	90698	+	186	upstream	186	Rfx7
chr9	72532012	72532053	42	*	X806	75115	72518250	72531858	13609	-	153	upstream	153	4930509E16Rik
chr9	75409596	75409913	318	*	X807	50772	75386902	75410005	23104	-	0	inside	91	Mapk6
chr9	75409596	75409913	318	*	X807	71274	75410184	75417709	7526	+	270	upstream	270	4933433G15Rik
chr9	78395890	78396205	316	*	X808	100048658	78395777	78423587	27811	+	0	inside	112	Ddx43
chr9	88482815	88483023	209	*	X810	56403	88420629	88482574	61946	-	240	upstream	240	Syncrip
chr9	94537729	94538086	358	*	X811	68861	94517864	94538081	20218	-	0	overlapStart	0	Dipk2a
chr9	95559514	95559586	73	*	X812	75552	95559657	95568023	8367	+	70	upstream	70	Paqr9
chr9	95559667	95560032	366	*	X813	75552	95559657	95568023	8367	+	0	inside	9	Paqr9
chr9	101074098	101074728	631	*	X814	77853	101074101	101104800	30700	+	0	overlapStart	0	Msl2
chr9	106368487	106368543	57	*	X815	235584	106368632	106375724	7093	+	88	upstream	88	Dusp7
chr9	106368723	106368981	259	*	X816	235584	106368632	106375724	7093	+	0	inside	90	Dusp7
chr9	110532628	110533020	393	*	X820	235626	110532597	110618633	86037	+	0	inside	30	Setd2
chr9	119402300	119402560	261	*	X821	11481	119402118	119434995	32878	+	0	inside	181	Acvr2b
chr9	123259953	123260733	781	*	X824	72309	123259053	123260764	1712	-	0	inside	30	Tmem158
chrX	142966869	142967009	141	*	X830	56068	142851146	142966728	115583	-	140	upstream	140	Ammecr1
chrX	142966354	142966794	441	*	X831	56068	142851146	142966728	115583	-	0	overlapStart	0	Ammecr1
chrX	153498048	153498081	34	*	X832	54609	153498227	153501570	3344	+	145	upstream	145	Ubqln2
chrX	153498196	153498376	181	*	X833	54609	153498227	153501570	3344	+	0	overlapStart	0	Ubqln2
chrX	159988158	159988734	577	*	X834	270672	159988433	160123351	134919	+	0	overlapStart	0	Map3k15
